ArtistID,ArtistName,ArtistType,ArtistCategory
188,劉家昌,男藝人,A
189,劉罡,男藝人,A
190,劉偉德 Victor Lau,男藝人,A
191,劉愷威,男藝人,A
192,劉榮昌,男藝人,A
193,劉維,男藝人,A
194,劉鳳瑤,男藝人,A
195,劉德華 Andy Lau,男藝人,A
196,劉鍚明,男藝人,A
197,慮冠廷,男藝人,A
198,黎明 Leon Li,男藝人,A
199,盧子翔 Lucas,男藝人,A
200,盧廣仲 Crowd Lu,男藝人,A
201,盧學叡 Afalean Lu,男藝人,A
202,賴晏駒,男藝人,A
203,賴偉鋒,男藝人,A
204,賴慈泓,男藝人,A
205,賴銘偉,男藝人,A
206,藍燁,男藝人,A
207,羅大佑,男藝人,A
208,羅文 Roman Tam,男藝人,A
209,羅文裕,男藝人,A
210,羅吉鎮,男藝人,A
211,羅百吉,男藝人,A
212,羅宏正,男藝人,A
213,羅志祥 Show Lo,男藝人,A
214,羅時豐,男藝人,A
215,羅紘武,男藝人,A
216,KU古曜威,男藝人,A
217,古天樂,男藝人,A
218,古巨基 Leoku,男藝人,A
219,古曜威 KU,男藝人,A
220,光良,男藝人,A
221,怪獸(五月天),男藝人,A
222,剛澤斌,男藝人,A
223,耿斯漢,男藝人,A
224,高爾宣,男藝人,A
225,國蛋 GorDoN,男藝人,A
226,郭品超 Dylan,男藝人,A
227,郭英男＆馬蘭吟唱隊 Difang,男藝人,A
228,郭頂,男藝人,A
229,郭富城,男藝人,A
230,郭獎,男藝人,A
231,郭蘅祈(郭子),男藝人,A
232,陳冠宇,男藝人,A
233,鼓鼓(呂思緯) GBOYSWAG,男藝人,A
234,關吉吉,男藝人,A
235,關智斌,男藝人,A
236,龔敬文 KUNG,男藝人,A
237,龔德 Kung Ta,男藝人,A
238,孔令奇 JK.,男藝人,A
239,克里夫 Cliff,男藝人,A
240,肯鄧 Ken Deng,男藝人,A
241,柯有倫,男藝人,A
242,柯有綸 Alan Kuo,男藝人,A
243,柯受良(小黑),男藝人,A
244,柯智棠 Kowen,男藝人,A
245,柯棨棋 77Ke,男藝人,A
246,柯震東,男藝人,A
247,何力,男藝人,A
248,何俊明,男藝人,A
249,何訓田,男藝人,A
250,何瑞康,男藝人,A
251,何維健,男藝人,A
252,何潤東,男藝人,A
253,哈克小宇,男藝人,A
254,洪啟,男藝人,A
255,洪敬堯,男藝人,A
256,胡宇威 George Hu,男藝人,A
257,胡兵,男藝人,A
258,胡彥斌 Anson Hu,男藝人,A
259,胡淼裕,男藝人,A
260,胡嗎個,男藝人,A
261,胡德夫 KIMBO,男藝人,A
262,華晨宇 HUA CHEN YU,男藝人,A
263,黃士勛 Finn,男藝人,A
264,黃大城,男藝人,A
265,黃大煒 David Huang,男藝人,A
266,黃子佼,男藝人,A
267,黃子軒,男藝人,A
268,黃子軒與山平快,男藝人,A
269,黃子韜 TAO,男藝人,A
270,黃介文,男藝人,A
271,黃仲崑,男藝人,A
272,黃安祖,男藝人,A
273,黃明志,男藝人,A
274,黃宓劼 MiJie,男藝人,A
275,黃玠,男藝人,A
276,黃品源,男藝人,A
277,黃奕儒 Ezu,男藝人,A
278,黃宥傑,男藝人,A
279,黃昱豪(大豪),男藝人,A
280,黃衍仁 Wong Hin Yan,男藝人,A
281,黃挺瑋 Ting Wei Huang,男藝人,A
282,黃偉晉 Wayne Huang,男藝人,A
283,黃崇旭 Witness,男藝人,A
284,黃連煜,男藝人,A
285,黃舒駿,男藝人,A
286,黃義達 Yida Huang,男藝人,A
287,黃靖倫,男藝人,A
288,黃維德,男藝人,A
289,黃磊,男藝人,A
290,黃霆睿 Ray,男藝人,A
291,黃鴻升 ALiEN HUANG,男藝人,A
292,黃禮格,男藝人,A
293,黃藍白,男藝人,A
294,黃鎮炘,男藝人,A
295,霍正奇,男藝人,A
296,霍建華,男藝人,A
297,霍尊,男藝人,A
298,韓庚,男藝人,A
299,韓磊,男藝人,A
300,韓賢光,男藝人,A
301,RK金承熙,男藝人,A
302,九維,男藝人,A
303,井柏然,男藝人,A
304,江健榆,男藝人,A
305,江智民,男藝人,A
306,金志遙 Jin,男藝人,A
307,金貴晟 Joshua Jin,男藝人,A
308,金韓一,男藝人,A
309,姜育恆,男藝人,A
310,姜明奇,男藝人,A
311,紀佳松 Blue J,男藝人,A
312,靳松,男藝人,A
313,蔣卓嘉 GJ,男藝人,A
314,全世煌,男藝人,A
315,曲祐良,男藝人,A
316,奇哥,男藝人,A
317,奇哥(自然捲),男藝人,A
318,邱比 CHIU PI,男藝人,A
319,邱軍,男藝人,A
320,邱勝翊,男藝人,A
321,邱鋒澤 Feng Ze,男藝人,A
322,青山,男藝人,A
323,裘德,男藝人,A
324,齊秦 chyi chin,男藝人,A
325,小人,男藝人,A
326,小安 Showan,男藝人,A
327,小林信一,男藝人,A
328,小河,男藝人,A
329,小春 Kenzy,男藝人,A
330,小柯,男藝人,A
331,小蟲,男藝人,A
332,辛龍,男藝人,A
333,信 SHIN,男藝人,A
334,夏國星,男藝人,A
335,徐良 Xu Liang,男藝人,A
336,徐瑋,男藝人,A
337,許光漢,男藝人,A
338,許志安 ANDY LAU,男藝人,A
339,許時 ShiShr,男藝人,A
340,許書豪,男藝人,A
341,許紹洋,男藝人,A
342,許鈞 Xu Jun,男藝人,A
343,許嵩,男藝人,A
344,許魏洲 Timmy Xu,男藝人,A
345,許巍,男藝人,A
346,童立安(小安),男藝人,A
347,熊天平,男藝人,A
348,熊仔 Kumachan,男藝人,A
349,蕭秉治,男藝人,A
350,蕭敬騰,男藝人,A
351,蕭煌奇,男藝人,A
352,薛之謙 Joker Xue,男藝人,A
353,薛岳,男藝人,A
354,謝天笑,男藝人,A
355,謝宇威,男藝人,A
356,謝和弦 R-chord,男藝人,A
357,謝英雄 Biung,男藝人,A
358,謝雷,男藝人,A
359,謝霆鋒 Nicholas Tse,男藝人,A
360,謝震廷,男藝人,A
361,仲維軍,男藝人,A
362,朱七,男藝人,A
363,朱孝天 Ken Chu,男藝人,A
364,朱興東,男藝人,A
365,朱頭皮 PigHeadSkin,男藝人,A
366,周予天 Alex Chou,男藝人,A
367,周永恆,男藝人,A
368,周杰倫 Jay Chou,男藝人,A
369,周治平,男藝人,A
370,周深,男藝人,A
371,周湯豪 NICKTHEREAL,男藝人,A
372,周華健,男藝人,A
373,周雲蓬,男藝人,A
374,周傳雄 Steve Chou,男藝人,A
375,周葆元,男藝人,A
376,周興哲 Eric Chou,男藝人,A
377,張立昂 Marcus C,男藝人,A
378,張宇,男藝人,A
379,張杰,男藝人,A
380,張雨生,男藝人,A
381,張信哲 Jeff Chang,男藝人,A
382,張洪量 Chang Hung-Liang,男藝人,A
383,張哲瀚 ZHANG ZHEHAN,男藝人,A
384,張祖誠,男藝人,A
385,張國榮 Leslie,男藝人,A
386,張智成 Z-chen,男藝人,A
387,張棟樑 Nicholas,男藝人,A
388,張萌萌,男藝人,A
389,張勤文,男藝人,A
390,張楚,男藝人,A
391,張睿銓,男藝人,A
392,張衛健,男藝人,A
393,張震,男藝人,A
394,張震嶽,男藝人,A
395,張學友 Jacky,男藝人,A
396,張鎬哲,男藝人,A
397,張懷顥 Mike,男藝人,A
398,張藝興 LAY(EXO),男藝人,A
399,莊傑評,男藝人,A
400,曾昱嘉,男藝人,A
